               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.008645,           0.0079699,          0.00076215,             0.96979,             0.97664,              0.9719,             0.92334,           0.0078594,            0.006629,           0.0015146,            0.001288,            0.001288,            0.001288
                 134,           0.0087108,            0.007819,          0.00065172,             0.97064,             0.97527,             0.97428,             0.91696,           0.0081668,           0.0066843,            0.001494,            0.001222,            0.001222,            0.001222
                 135,           0.0082955,           0.0075207,           0.0006119,             0.97044,             0.97664,             0.97434,             0.92565,           0.0080584,           0.0065653,           0.0014903,            0.001156,            0.001156,            0.001156
                 136,           0.0083657,           0.0078157,          0.00060539,             0.97061,             0.97804,             0.97203,             0.92104,           0.0078038,           0.0064821,           0.0014686,             0.00109,             0.00109,             0.00109
                 137,           0.0083973,           0.0082189,          0.00065104,             0.97065,             0.97686,             0.97192,             0.92394,           0.0080679,           0.0067821,           0.0014314,            0.001024,            0.001024,            0.001024
                 138,            0.008274,           0.0080053,          0.00060876,              0.9717,             0.97554,             0.97279,             0.93008,           0.0077943,           0.0067666,           0.0014331,            0.000958,            0.000958,            0.000958
                 139,           0.0081801,           0.0078003,          0.00059799,             0.97154,             0.97324,             0.97365,             0.92809,           0.0079151,           0.0067129,           0.0014361,            0.000892,            0.000892,            0.000892
                 140,           0.0082095,           0.0075358,          0.00053428,             0.97097,             0.97467,             0.97206,             0.92627,           0.0079156,           0.0065839,           0.0014509,            0.000826,            0.000826,            0.000826
                 141,           0.0079302,           0.0079137,          0.00055062,             0.97011,             0.97777,             0.97138,             0.90949,           0.0079661,           0.0066354,           0.0014625,             0.00076,             0.00076,             0.00076
                 142,           0.0081264,             0.00779,          0.00059001,             0.96968,             0.97728,             0.97223,              0.9284,           0.0077218,           0.0065334,           0.0014472,            0.000694,            0.000694,            0.000694
                 143,           0.0078802,           0.0073977,          0.00054353,             0.97023,             0.97751,             0.97249,              0.9286,           0.0077249,           0.0064807,           0.0014314,            0.000628,            0.000628,            0.000628
                 144,           0.0078376,           0.0079838,           0.0006295,             0.97097,             0.97725,             0.97234,             0.92544,           0.0077886,           0.0065567,           0.0014258,            0.000562,            0.000562,            0.000562
                 145,           0.0078608,           0.0076311,          0.00049758,             0.97057,             0.97685,             0.97334,             0.93349,           0.0077246,           0.0065265,            0.001421,            0.000496,            0.000496,            0.000496
                 146,           0.0078077,           0.0074441,           0.0005594,             0.97038,             0.97626,             0.97263,             0.92242,           0.0078021,           0.0066125,           0.0014234,             0.00043,             0.00043,             0.00043
                 147,           0.0078151,           0.0081289,          0.00049209,             0.97105,             0.97408,             0.97266,              0.9352,           0.0078004,           0.0065227,           0.0014179,            0.000364,            0.000364,            0.000364
                 148,           0.0076726,           0.0073068,          0.00052362,             0.97242,              0.9731,             0.97278,             0.92747,           0.0077508,             0.00652,            0.001405,            0.000298,            0.000298,            0.000298
                 149,           0.0076307,           0.0072302,          0.00048374,             0.97188,             0.97335,             0.97268,             0.93146,           0.0077635,           0.0065041,           0.0013988,            0.000232,            0.000232,            0.000232
